state,election,year,D,R,T
Delaware,Gubernatorial,2012,Jack Markell,Jeff Cragg,Mark Perri
Indiana,Gubernatorial,2012,John Gregg,Mike Pence,Rupert Boneham
Kentucky,Gubernatorial,2012,Steve Beshear,David Williams,Gatewood Galbraith
Louisiana,Gubernatorial,2012,Tara Hollis,Bobby Jindal,
Mississippi,Gubernatorial,2012,Johnny DuPree,Phil Bryant,
Missouri,Gubernatorial,2012,Jay Nixon,Dave Spence,Jim Higgins
Montana,Gubernatorial,2012,Steve Bullock,Rick Hill,Ron Vandevender
New Hampshire,Gubernatorial,2012,Maggie Hassan,Ovide Lamontagne,John Babiarz
North Carolina,Gubernatorial,2012,Walter Dalton,Pat McCrory,Barbara Howe
North Dakota,Gubernatorial,2012,Ryan Taylor,Jack Dalrymple,Paul Sorum
Utah,Gubernatorial,2012,Peter Cooke,Gary Herbert,Ken Larsen
Vermont,Gubernatorial,2012,Peter Shumlin,Randy Brock,Emily Peyton
Washington,Gubernatorial,2012,Jay Inslee,Rob McKenna,
West Virginia,Gubernatorial,2012,Earl Ray Tomblin,Bill Maloney,Jesse Johnson
Wisconsin,Gubernatorial,2012,Tom Barrett,Scott Walker,
Alabama,Gubernatorial,2014,Parker Griffith,Robert Bentley,
Alaska,Gubernatorial,2014,,Sean Parnell,Bill Walker
Arizona,Gubernatorial,2014,Fred DuVal,Doug Ducey,John Mealer
Arkansas,Gubernatorial,2014,Mike Ross,Asa Hutchinson,Josh Drake
California,Gubernatorial,2014,Jerry Brown,Neel Kashkari,
Colorado,Gubernatorial,2014,John Hickenlooper,Bob Beauprez,Matthew Hess
Connecticut,Gubernatorial,2014,Dan Malloy,Tom Foley,Joe Visconti
Florida,Gubernatorial,2014,Charlie Crist,Rick Scott,Adrian Wyllie
Georgia,Gubernatorial,2014,Jason Carter,Nathan Deal,Andrew Hunt
Hawaii,Gubernatorial,2014,David Ige,Duke Aiona,Mufi Hannemann
Idaho,Gubernatorial,2014,A.J. Balukoff,Butch Otter,Steve Pankey
Illinois,Gubernatorial,2014,Pat Quinn,Bruce Rauner,Chad Grimm
Iowa,Gubernatorial,2014,Jack Hatch,Terry Branstad,Lee Hieb
Kansas,Gubernatorial,2014,Paul Davis,Sam Brownback,Keen Umbehr
Maine,Gubernatorial,2014,Mike Michaud,Paul LePage,Eliot Cutler
Maryland,Gubernatorial,2014,Anthony Brown,Larry Hogan,Shawn Quinn
Massachusetts,Gubernatorial,2014,Martha Coakley,Charlie Baker,Evan Falchuk
Michigan,Gubernatorial,2014,Mark Schauer,Rick Snyder,Mary Buzuma
Minnesota,Gubernatorial,2014,Mark Dayton,Jeff Johnson,Hannah Nicollet
Nebraska,Gubernatorial,2014,Chuck Hassebrook,Pete Ricketts,Mark Elworth
Nevada,Gubernatorial,2014,Robert Goodman,Brian Sandoval,David VanDerBeek
New Hampshire,Gubernatorial,2014,Maggie Hassan,Walt Havenstein,
New Jersey,Gubernatorial,2014,Barbara Buono,Chris Christie,
New Mexico,Gubernatorial,2014,Gary King,Susana Martinez,
New York,Gubernatorial,2014,Andrew Cuomo,Rob Astorino,Howie Hawkins
Ohio,Gubernatorial,2014,Ed FitzGerald,John Kasich,Anita Rios
Oklahoma,Gubernatorial,2014,Joe Dorman,Mary Fallin,Richard Prawdzienski
Oregon,Gubernatorial,2014,John Kitzhaber,Dennis Richardson,Paul Grad
Pennsylvania,Gubernatorial,2014,Tom Wolf,Tom Corbett,
Rhode Island,Gubernatorial,2014,Gina Raimondo,Allan Fung,Bob Healey
South Carolina,Gubernatorial,2014,Vincent Sheheen,Nikki Haley,Steve French
South Dakota,Gubernatorial,2014,Susan Wismer,Dennis Daugaard,Mike Myers
Tennessee,Gubernatorial,2014,Charlie Brown,Bill Haslam,John Jay Hooker
Texas,Gubernatorial,2014,Wendy Davis,Greg Abbott,Brandon Parmer
Vermont,Gubernatorial,2014,Peter Shumlin,Scott Milne,Dan Feliciano
Virginia,Gubernatorial,2014,Terry McAuliffe,Ken Cuccinelli,Robert Sarvis
Wisconsin,Gubernatorial,2014,Mary Burke,Scott Walker,Robert Burke
Wyoming,Gubernatorial,2014,Pete Gosar,Matt Mead,Don Wills
Oregon 1,House,2012,Suzanne Bonamici,Rob Cornilles,
Arizona 8,House,2012,Ron Barber,Jesse Kelly,Charlie Manolakis
Alabama 1,House,2012,,Jo Bonner,
Alabama 2,House,2012,Therese Ford,Martha Roby,
Alabama 3,House,2012,John Andrew Harris,Mike Rogers,
Alabama 4,House,2012,Daniel Boman,Robert Aderholt,
Alabama 5,House,2012,Charlie Holley,Mo Brooks,
Alabama 6,House,2012,Penny Bailey,Spencer Bachus,
Alabama 7,House,2012,Terri Sewell,Don Chamberlain,
Alaska 1,House,2012,Sharon Cissna,Don Young,"Jim McDermott,Ted Gianoutsos"
Arizona 1,House,2012,Ann Kirkpatrick,Jonathan Paton,Kim Allen
Arizona 2,House,2012,Ron Barber,Martha McSally,Anthony Powell
Arizona 3,House,2012,Raul Grijalva,Gabriela Saucedo Mercer,Blanca Guerra
Arizona 4,House,2012,Johnnie Robinson,Paul Gosar,"Joe Pamelia,Richard Grayson"
Arizona 5,House,2012,Spencer Morgan,Matt Salmon,
Arizona 6,House,2012,Matt Jette,David Schweikert,"Jack Anderson,M. Salazar"
Arizona 7,House,2012,Ed Pastor,,Joe Cobb
Arizona 8,House,2012,Gene Scharer,Trent Franks,Stephen Dolgos
Arizona 9,House,2012,Kyrsten Sinema,Vernon Parker,Powell Gammill
Arkansas 1,House,2012,Scott Ellington,Rick Crawford,"Jessica Paxton,Jacob Holloway"
Arkansas 2,House,2012,Herb Rule,Timothy Griffin,"Barbara Ward,Chris Hayes"
Arkansas 3,House,2012,,Steve Womack,"Rebekah Kennedy,David Pangrac"
Arkansas 4,House,2012,Gene Jeffress,Tom Cotton,"Josh Drake,Bobby Tullis"
California 1,House,2012,Jim Reed,Doug LaMalfa,
California 2,House,2012,Jared Huffman,Daniel Roberts,
California 3,House,2012,John Garamendi,Kim Vann,
California 4,House,2012,Jack Uppal,Tom McClintock,
California 5,House,2012,Mike Thompson,Randy Loftin,
California 6,House,2012,Doris Matsui,Joseph McCray,
California 7,House,2012,Ami Bera,Dan Lungren,
California 8,House,2012,,"Paul Cook,Gregg Imus",
California 9,House,2012,Jerry McNerney,Ricky Gill,
California 10,House,2012,Jose Hernandez,Jeff Denham,
California 11,House,2012,George Miller,Virginia Fuller,
California 12,House,2012,Nancy Pelosi,John Dennis,
California 13,House,2012,Barbara Lee,,Marilyn Singleton
California 14,House,2012,Jackie Speier,Deborah Bacigalupi,
California 15,House,2012,"Eric Swalwell,Pete Stark",,
California 16,House,2012,Jim Costa,Brian Whelan,
California 17,House,2012,Mike Honda,Evelyn Li,
California 18,House,2012,Anna Eshoo,Dave Chapman,
California 19,House,2012,Zoe Lofgren,Robert Murray,
California 20,House,2012,Sam Farr,Jeff Taylor,
California 21,House,2012,John Hernandez,David Valadao,
California 22,House,2012,Otto Lee,Devin Nunes,
California 23,House,2012,,Kevin McCarthy,Terry Phillips
California 24,House,2012,Lois Capps,Abel Maldonado,
California 25,House,2012,Lee Rogers,Howard McKeon,
California 26,House,2012,Julia Brownley,Tony Strickland,
California 27,House,2012,Judy Chu,Jack Orswell,
California 28,House,2012,Adam Schiff,Phil Jennerjahn,
California 29,House,2012,Tony Cardenas,,David Hernandez
California 30,House,2012,"Brad Sherman,Howard Berman",,
California 31,House,2012,,"Gary Miller,Robert Dutton",
California 32,House,2012,Grace Napolitano,David Miller,
California 33,House,2012,Henry Waxman,,Bill Bloomfield
California 34,House,2012,Xavier Becerra,Stephen Smith,
California 35,House,2012,"Gloria Negrete McLeod,Joe Baca",,
California 36,House,2012,Raul Ruiz,Mary Bono Mack,
California 37,House,2012,Karen Bass,Morgan Osborne,
California 38,House,2012,Linda Sanchez,Benjamin Campos,
California 39,House,2012,Jay Chen,Ed Royce,
California 40,House,2012,"Lucille Roybal-Allard,David Sanchez",,
California 41,House,2012,Mark Takano,John Tavaglione,
California 42,House,2012,Michael Williamson,Ken Calvert,
California 43,House,2012,"Maxine Waters,Bob Flores",,
California 44,House,2012,"Janice Hahn,Laura Richardson",,
California 45,House,2012,Sukhee Kang,John Campbell,
California 46,House,2012,Loretta Sanchez,Jerry Hayden,
California 47,House,2012,Alan Lowenthal,Gary DeLong,
California 48,House,2012,Ron Varasteh,Dana Rohrabacher,
California 49,House,2012,Jerry Tetalman,Darrell Issa,
California 50,House,2012,David Secor,Duncan Hunter,
California 51,House,2012,Juan Vargas,Michael Crimmins,
California 52,House,2012,Scott Peters,Brian Bilbray,
California 53,House,2012,Susan Davis,Nick Popaditch,
Colorado 1,House,2012,Diana DeGette,Danny Stroud,"Frank Atwood,Gary Swing"
Colorado 2,House,2012,Jared Polis,Kevin Lundberg,"Randy Luallin,Susan Hall"
Colorado 3,House,2012,Sal Pace,Scott Tipton,"Tisha Casida,Gregory Gilman"
Colorado 4,House,2012,Brandon Shaffer,Cory Gardner,"Josh Gilliland,Doug Aden"
Colorado 5,House,2012,,Doug Lamborn,"Dave Anderson,Jim Pirtle,Misha Luzov,Ken Harvell"
Colorado 6,House,2012,Joe Miklosi,Mike Coffman,"Kathy Polhemus,Patrick Provost"
Colorado 7,House,2012,Ed Perlmutter,Joe Coors,"Doug Campbell,Buck Bailey"
Connecticut 1,House,2012,John Larson,John Henry Decker,"Mike Derosa,Matthew Corey"
Connecticut 2,House,2012,Joe Courtney,Paul Formica,"Colin Bennett,Dan Reale"
Connecticut 3,House,2012,Rosa DeLauro,Wayne Winsley,
Connecticut 4,House,2012,Jim Himes,Steve Obsitnik,
Connecticut 5,House,2012,Elizabeth Esty,Andrew Roraback,John Pistone
Delaware 1,House,2012,John Carney,Tom Kovach,"Bernard August,Scott Gesty"
Florida 1,House,2012,Jim Bryan,Jeff Miller,Calen Fretts
Florida 2,House,2012,Al Lawson,Steve Southerland,
Florida 3,House,2012,J.R. Gaillot,Ted Yoho,Phil Dodds
Florida 4,House,2012,,Ander Crenshaw,Jim Klauder
Florida 5,House,2012,Corrine Brown,LeAnne Kolb,Eileen Fleming
Florida 6,House,2012,Heather Beaven,Ron DeSantis,
Florida 7,House,2012,Jason Kendall,John Mica,
Florida 8,House,2012,Shannon Roberts,Bill Posey,Richard Gillmor
Florida 9,House,2012,Alan Grayson,Todd Long,"Mike Nieves,Roberto Sanchez"
Florida 10,House,2012,Val Demings,Dan Webster,
Florida 11,House,2012,Dave Werder,Rich Nugent,
Florida 12,House,2012,Jonathan Michael Snow,Gus Bilirakis,"John Russell,Paul Elliot"
Florida 13,House,2012,Jessica Ehrlich,Bill Young,
Florida 14,House,2012,Kathy Castor,E.J. Otero,Bill Kee
Florida 15,House,2012,,Dennis Ross,
Florida 16,House,2012,Keith Fitzgerald,Vern Buchanan,
Florida 17,House,2012,Will Bronson,Tom Rooney,
Florida 18,House,2012,Patrick Murphy,Allen West,
Florida 19,House,2012,James Roach,Trey Radel,Brandon Smith
Florida 20,House,2012,Alcee Hastings,,Randall Terry
Florida 21,House,2012,Ted Deutch,,"Mike Trout,Cesar Henao"
Florida 22,House,2012,Lois Frankel,Adam Hasner,
Florida 23,House,2012,Debbie Wasserman Schultz,Karen Harrington,Ilya Katz
Florida 24,House,2012,Frederica Wilson,,
Florida 25,House,2012,,Mario Diaz-Balart,Stanley Blumenthal
Florida 26,House,2012,Joe Garcia,David Rivera,"Angel Fernandez,Jose Peixoto"
Florida 27,House,2012,Manny Yevancy,Ileana Ros-Lehtinen,Thomas Cruz-Wiggins
Georgia 1,House,2012,Lesli Messinger,Jack Kingston,
Georgia 2,House,2012,Sanford Bishop,John House,
Georgia 3,House,2012,,Lynn Westmoreland,
Georgia 4,House,2012,Hank Johnson,Chris Vaughn,
Georgia 5,House,2012,John Lewis,Howard Stopeck,
Georgia 6,House,2012,Jeff Kazanow,Tom Price,
Georgia 7,House,2012,Steve Reilly,Rob Woodall,
Georgia 8,House,2012,,Austin Scott,
Georgia 9,House,2012,Jody Cooley,Doug Collins,
Georgia 10,House,2012,,Paul Broun,
Georgia 11,House,2012,Patrick Thompson,Phil Gingrey,
Georgia 12,House,2012,John Barrow,Lee Anderson,
Georgia 13,House,2012,David Scott,Shahid Malik,
Georgia 14,House,2012,Daniel Grant,Tom Graves,
Hawaii 1,House,2012,Colleen Hanabusa,Charles Djou,
Hawaii 2,House,2012,Tulsi Gabbard,Kawika Crowley,Pat Brock
Idaho 1,House,2012,Jimmy Farris,Raul Labrador,"Rob Oates,Pro-Life"
